Language,Study Method,Frequency,Study Trigger,Session Length,Planned Words,Words per Session,Review Habit,Track weekly words,Vocabulary total,Test progress,Skill level badge
German,"Desktop software, Flashcards, Podcasts, E-books",4-6 times per week,Spontaneous,Less than 15 min,21–50,6–10,Never,N/A,N/A,Must have,Not necessary
Chinese,"Physical books, Websites",Once per week,Other,31 min – 1 hour,No plan,None,Always,Not necessary,Must have,N/A,N/A
Spanish,"Desktop software, E-books, Websites",4-6 times per week,Other,More than 1 hour,50+,1–5,Never,N/A,N/A,Not necessary,N/A
Other,"Desktop software, Podcasts",2-3 times per week,Scheduled,Less than 15 min,No plan,50+,Never,Not necessary,Not necessary,N/A,N/A
Other,"Desktop software, Mobile apps, Podcasts",Once per week,Other,31 min – 1 hour,6–10,6–10,Sometimes,Not necessary,Must have,Must have,N/A
Other,"Flashcards, Mobile apps",A few times per day,App reminders,Less than 15 min,50+,None,Never,Must have,Must have,Not necessary,Must have
German,"Mobile apps, Websites, Flashcards, Video platforms",2-3 times per week,Spontaneous,More than 1 hour,6–10,None,Never,Must have,N/A,Not necessary,Not necessary
Other,"Podcasts, Mobile apps, Physical books, E-books",4-6 times per week,Other,More than 1 hour,50+,None,Sometimes,Not necessary,Nice to have,Must have,Not necessary
German,"Desktop software, Video platforms",Once per week,Scheduled,More than 1 hour,1–5,21–50,Never,Nice to have,Must have,N/A,Must have
German,"Desktop software, Flashcards, Websites, Physical books",Once per week,Scheduled,More than 1 hour,6–10,50+,Always,Nice to have,N/A,Nice to have,Must have
Chinese,"Podcasts, Flashcards",Once per day,App reminders,15–30 min,50+,11–20,Never,Must have,Not necessary,Must have,Nice to have
French,"Websites, E-books, Physical books, Video platforms",A few times per day,Spontaneous,Less than 15 min,1–5,11–20,Always,Not necessary,Nice to have,N/A,Must have
Chinese,"Podcasts, Mobile apps, Physical books, Flashcards",A few times per day,Spontaneous,31 min – 1 hour,6–10,1–5,Never,Not necessary,Not necessary,Must have,Must have
Other,"Flashcards, Websites, E-books",Once per week,Spontaneous,More than 1 hour,21–50,21–50,Never,Must have,N/A,Nice to have,N/A
Other,"Websites, Physical books",Once per day,Scheduled,15–30 min,No plan,None,Never,Nice to have,Not necessary,Must have,Not necessary
German,"Podcasts, Mobile apps, Physical books, Desktop software",4-6 times per week,Scheduled,Less than 15 min,11–20,21–50,Sometimes,N/A,Not necessary,Must have,Nice to have
Spanish,"Desktop software, Websites, Video platforms, E-books",A few times per day,Other,Less than 15 min,1–5,None,Always,Not necessary,Must have,Must have,Nice to have
French,"Video platforms, Physical books, Flashcards, Websites",Once per day,Other,31 min – 1 hour,21–50,None,Always,Not necessary,N/A,N/A,N/A
Other,"Desktop software, Mobile apps, Websites",4-6 times per week,App reminders,More than 1 hour,No plan,21–50,Always,Nice to have,Nice to have,Must have,Nice to have
Japanese,"Video platforms, Podcasts",Once per day,Scheduled,15–30 min,6–10,21–50,Sometimes,Must have,Nice to have,N/A,Not necessary
Spanish,"Video platforms, Mobile apps, Desktop software, Websites",2-3 times per week,Scheduled,31 min – 1 hour,1–5,None,Always,Not necessary,Not necessary,N/A,Not necessary
German,"Desktop software, Websites, Flashcards",Once per day,Scheduled,Less than 15 min,21–50,1–5,Sometimes,Nice to have,Must have,N/A,Nice to have
French,"Podcasts, E-books, Video platforms, Flashcards",2-3 times per week,Spontaneous,More than 1 hour,1–5,6–10,Always,Not necessary,N/A,Not necessary,Not necessary
Japanese,"Mobile apps, Desktop software",Once per day,App reminders,15–30 min,No plan,1–5,Sometimes,Nice to have,Nice to have,N/A,Nice to have
French,"Mobile apps, E-books, Video platforms, Physical books",Once per day,Spontaneous,31 min – 1 hour,1–5,6–10,Always,Must have,N/A,Not necessary,Not necessary
Chinese,"Desktop software, Podcasts",2-3 times per week,App reminders,Less than 15 min,50+,6–10,Sometimes,Not necessary,Must have,Not necessary,N/A
Japanese,"Video platforms, E-books, Mobile apps",2-3 times per week,Other,31 min – 1 hour,1–5,21–50,Never,Not necessary,Must have,N/A,Nice to have
French,"Flashcards, Websites",A few times per day,Spontaneous,31 min – 1 hour,11–20,11–20,Sometimes,Not necessary,Nice to have,Nice to have,Nice to have
German,"Mobile apps, E-books",A few times per day,App reminders,31 min – 1 hour,6–10,11–20,Always,N/A,Must have,N/A,Nice to have
Chinese,"Websites, E-books, Video platforms, Physical books",A few times per day,App reminders,31 min – 1 hour,6–10,50+,Always,N/A,Nice to have,Nice to have,N/A
German,"Podcasts, E-books, Flashcards",4-6 times per week,Other,More than 1 hour,50+,11–20,Always,Nice to have,N/A,Nice to have,Must have
French,"Flashcards, Video platforms, Podcasts, E-books",Once per week,Spontaneous,Less than 15 min,No plan,1–5,Sometimes,Nice to have,Nice to have,Nice to have,N/A
Chinese,"Websites, E-books",Once per day,Spontaneous,15–30 min,6–10,1–5,Sometimes,Nice to have,Nice to have,Nice to have,Must have
French,"Flashcards, Desktop software, Physical books",4-6 times per week,Scheduled,More than 1 hour,50+,21–50,Sometimes,Nice to have,Nice to have,Must have,Must have
Japanese,"Flashcards, Mobile apps, Podcasts",A few times per day,App reminders,15–30 min,11–20,50+,Never,Must have,Nice to have,N/A,Must have
French,"Websites, E-books, Mobile apps",Once per week,Other,More than 1 hour,1–5,6–10,Always,Nice to have,N/A,Nice to have,Must have
French,"E-books, Mobile apps, Flashcards, Desktop software",2-3 times per week,Scheduled,More than 1 hour,21–50,21–50,Sometimes,Must have,Nice to have,Nice to have,Must have
Japanese,"Podcasts, Desktop software",4-6 times per week,Scheduled,31 min – 1 hour,50+,50+,Sometimes,Must have,N/A,Nice to have,Must have
German,"Mobile apps, Flashcards",Once per day,App reminders,15–30 min,1–5,6–10,Always,Nice to have,Must have,Not necessary,Not necessary
German,"Desktop software, Mobile apps, Websites, Video platforms",A few times per day,Spontaneous,15–30 min,No plan,None,Always,N/A,Nice to have,Not necessary,N/A
Japanese,"E-books, Mobile apps, Websites, Video platforms",4-6 times per week,App reminders,15–30 min,11–20,11–20,Always,Nice to have,N/A,N/A,N/A
German,"Mobile apps, Flashcards, E-books",Once per week,Scheduled,15–30 min,No plan,6–10,Sometimes,N/A,Must have,Must have,Nice to have
German,"Video platforms, Desktop software, Podcasts, Physical books",2-3 times per week,Spontaneous,31 min – 1 hour,No plan,21–50,Never,Must have,Must have,N/A,N/A
Chinese,"Podcasts, Physical books, Video platforms",A few times per day,Spontaneous,Less than 15 min,6–10,6–10,Never,Nice to have,Must have,Nice to have,Nice to have
German,"Video platforms, Websites, E-books, Flashcards",A few times per day,Scheduled,31 min – 1 hour,11–20,11–20,Sometimes,Not necessary,N/A,Must have,Not necessary
Chinese,"Podcasts, Websites, Physical books, E-books",Once per week,App reminders,More than 1 hour,50+,50+,Never,Nice to have,Not necessary,Not necessary,N/A
Spanish,"Desktop software, Websites, Video platforms",2-3 times per week,Scheduled,15–30 min,1–5,None,Never,Must have,Must have,Must have,Nice to have
Chinese,"E-books, Physical books, Desktop software, Video platforms",4-6 times per week,Other,More than 1 hour,6–10,11–20,Sometimes,Nice to have,N/A,Nice to have,N/A
French,"E-books, Desktop software, Flashcards, Physical books",4-6 times per week,Spontaneous,More than 1 hour,1–5,50+,Sometimes,Not necessary,Nice to have,Nice to have,Must have
German,"Physical books, Desktop software",Once per week,Spontaneous,31 min – 1 hour,6–10,1–5,Sometimes,Must have,Must have,Nice to have,N/A
